id,value
id_0,25.3123758462
id_1,66.299999829
id_2,20.1864749334
id_3,27.869006167
id_4,9.15859170878
id_5,33.9936245201
id_6,42.1782990644
id_7,15.6529908382
id_8,48.2812802148
id_9,33.9942273705
id_10,37.1656403506
id_11,59.3120079112
id_12,33.9900667488
id_13,40.4765929461
id_14,29.0376734885
id_15,11.2136156822
id_16,51.7816404227
id_17,21.6279140198
id_18,16.1201081158
id_19,17.7040681746
id_20,16.2372573641
id_21,28.8816515651
id_22,38.7234911684
id_23,7.43401662115
id_24,58.4218840412
id_25,46.5157280855
id_26,26.0667436002
id_27,7.8966198018
id_28,31.3100150201
id_29,35.7769883865
id_30,17.9104559159
id_31,11.3893571476
id_32,17.6424207127
id_33,6.38797638982
id_34,15.476727145
id_35,44.7984240526
id_36,22.2166059039
id_37,27.1133196142
id_38,10.6025789423
id_39,58.9566964793
id_40,47.5538014743
id_41,19.729566414
id_42,53.8499436473
id_43,18.1453051833
id_44,45.7629554054
id_45,50.0546773603
id_46,58.2294290289
id_47,41.6675299287
id_48,56.0506934096
id_49,39.4530626732
id_50,29.3743235397
id_51,23.7169666457
id_52,39.8615173222
id_53,24.4469080908
id_54,38.9417391032
id_55,39.9415647679
id_56,24.6095370764
id_57,21.6310894579
id_58,37.6723983584
id_59,31.7620957396
id_60,12.2370937349
id_61,23.444937944
id_62,30.71709452
id_63,54.2762840158
id_64,49.2376912488
id_65,25.5602798842
id_66,37.2499857931
id_67,52.6671756326
id_68,30.8233137977
id_69,35.6470266693
id_70,65.1576707083
id_71,54.9153606672
id_72,43.1374012333
id_73,14.6555222931
id_74,12.5378743006
id_75,35.084575948
id_76,64.9211725194
id_77,0.98693286494
id_78,40.6482263832
id_79,41.2636709055
id_80,8.01671537388
id_81,20.5601458246
id_82,6.23040729003
id_83,30.6088290423
id_84,7.49438521237
id_85,6.58723422428
id_86,16.2292698677
id_87,12.4955072855
id_88,17.6193337293
id_89,22.7578681316
id_90,36.4762220622
id_91,12.139093244
id_92,11.1170386447
id_93,8.48307405165
id_94,38.2395644838
id_95,16.3900577705
id_96,18.6550659721
id_97,10.4118985176
id_98,10.3814686888
id_99,3.79731378667
id_100,10.7399518811
id_101,19.1853968586
id_102,12.6198042462
id_103,10.0826187004
id_104,11.1141609363
id_105,38.3354512039
id_106,24.7467441881
id_107,8.00012271738
id_108,15.5429805893
id_109,15.2125649094
id_110,12.4145952919
id_111,15.5253956927
id_112,16.0530179017
id_113,25.5293796927
id_114,20.6019848146
id_115,16.2937558398
id_116,7.15603024713
id_117,45.9310715174
id_118,25.1071862146
id_119,0.686190223478
id_120,-0.0833099714433
id_121,9.43195793803
id_122,13.0591250192
id_123,12.9351918684
id_124,8.00762715923
id_125,25.5458317773
id_126,21.4491449274
id_127,9.78610095982
id_128,20.5632356089
id_129,14.6637508331
id_130,-0.29445251151
id_131,34.0329050374
id_132,13.5690281612
id_133,18.4471976486
id_134,26.5691949364
id_135,23.2459261137
id_136,9.19322946357
id_137,21.5286042389
id_138,79.9270109015
id_139,61.6162676203
id_140,26.2854095946
id_141,20.3868370962
id_142,25.4129985811
id_143,7.31396206455
id_144,12.5356233364
id_145,10.4147585421
id_146,18.4728042686
id_147,8.72057721468
id_148,12.3294915936
id_149,17.792355431
id_150,47.3611142688
id_151,21.466783644
id_152,24.2004861925
id_153,15.1541063154
id_154,13.4206970562
id_155,23.4240212467
id_156,25.1103934368
id_157,37.1950317118
id_158,3.09698917678
id_159,21.5285194061
id_160,43.2059474623
id_161,18.9427606
id_162,62.5101524456
id_163,18.0413770916
id_164,33.5932808588
id_165,23.6180230927
id_166,22.569832797
id_167,1.3402142164
id_168,68.805181002
id_169,17.9182780397
id_170,16.3690011659
id_171,69.9300541077
id_172,21.5018980902
id_173,1.87488517538
id_174,22.5856217227
id_175,-0.496965415012
id_176,8.46175910119
id_177,16.2963296646
id_178,22.4668309658
id_179,25.3266088602
id_180,43.5640439771
id_181,32.7122061552
id_182,28.4040936634
id_183,13.0964790189
id_184,7.99554791965
id_185,42.0114124773
id_186,36.7919456529
id_187,35.9592983647
id_188,15.5801284738
id_189,24.7651651368
id_190,14.3578919505
id_191,13.9454635216
id_192,31.1387952542
id_193,73.33943869
id_194,31.7006411198
id_195,12.0042625115
id_196,63.3317144194
id_197,16.9551797875
id_198,19.7611850395
id_199,21.177613156
id_200,127.301403923
id_201,22.6197656065
id_202,59.9191737973
id_203,3.24085996775
id_204,56.9995001577
id_205,36.3164030282
id_206,15.7817515597
id_207,13.9939274711
id_208,64.0135267115
id_209,11.7644419403
id_210,37.6253054296
id_211,68.3931604508
id_212,19.5390071346
id_213,110.098951384
id_214,43.1579843328
id_215,74.4170531281
id_216,93.6666927612
id_217,69.9955061889
id_218,28.8128909504
id_219,18.6700823216
id_220,29.5022778627
id_221,56.6281109416
id_222,25.9139658444
id_223,40.2853708866
id_224,42.1013272042
id_225,9.13351790351
id_226,7.54793612375
id_227,82.5042093775
id_228,29.5052217707
id_229,2.26551109078
id_230,38.2471979548
id_231,15.4117588833
id_232,22.1548007299
id_233,8.5803550429
id_234,12.3125842146
id_235,25.3775132846
id_236,13.7290128031
id_237,2.47188456172
id_238,22.7521684574
id_239,12.9521070327
